model,family,seed,sweep,min_sep,snr_db,snapshots,num_tests,num_kok,k_accuracy,rmspe_rad,rmspe_deg,mae_deg,sr5,rmspe_deg_kok,mae_deg_kok
Trans-MUSIC/seed0,Trans-MUSIC,0,snr,none,-10,200,25600,6376,0.2490625,0.2280479154427667,13.066183081626802,10.648406201240359,0.1221875,18.413684732337,14.517560683937257
Trans-MUSIC/seed1,Trans-MUSIC,1,snr,none,-10,200,25600,6340,0.24765625,0.21857158228832954,12.523229186617659,10.253288978564855,0.1237890625,18.358494491593888,14.467821831230285
Trans-MUSIC/seed2,Trans-MUSIC,2,snr,none,-10,200,25600,6331,0.2473046875,0.23066735492474558,13.216265908634126,10.867084166605212,0.1175,18.90768802790313,15.134754082041587
TCN-MUSIC/seed0,TCN-MUSIC,0,snr,none,-10,200,25600,6364,0.24859375,0.20695728968809804,11.857779238594372,9.542218986135182,0.168671875,17.772146049082544,13.659804501742645
TCN-MUSIC/seed1,TCN-MUSIC,1,snr,none,-10,200,25600,6404,0.25015625,0.2155281572384202,12.348853775993462,10.138605910174984,0.139453125,18.245125080028796,14.45002062403732
TCN-MUSIC/seed2,TCN-MUSIC,2,snr,none,-10,200,25600,6380,0.24921875,0.22771561806737664,13.047143844473677,10.579647025011068,0.1260546875,19.24648358963125,15.101610817784104
DA-MUSIC/seed0,DA-MUSIC,0,snr,none,-10,200,25600,6278,0.245234375,0.2163668861388159,12.396909402141784,10.163415414352826,0.125859375,17.709573371612453,13.94888469058412
DA-MUSIC/seed1,DA-MUSIC,1,snr,none,-10,200,25600,6279,0.2452734375,0.23621809789649353,13.534300054077189,11.21255119094484,0.0919921875,19.124892770415617,15.341260576864597
DA-MUSIC/seed2,DA-MUSIC,2,snr,none,-10,200,25600,6315,0.2466796875,0.24328973369811202,13.93947493976354,11.663674322736592,0.0813671875,19.615191318773704,15.92798176354664
LCPSN-uncovON/seed0,LCPSN-uncovON,0,snr,none,-10,200,25600,6342,0.247734375,0.1393515236759453,7.984254175349033,5.74088237629657,0.5611328125,14.065729224540174,9.61755333188409
LCPSN-uncovON/seed1,LCPSN-uncovON,1,snr,none,-10,200,25600,6217,0.2428515625,0.1299801590692323,7.447314535106101,5.338317841363655,0.5844921875,13.854971805894506,9.410479489381153
LCPSN-uncovON/seed2,LCPSN-uncovON,2,snr,none,-10,200,25600,6181,0.2414453125,0.12349863664580515,7.075950655424321,5.076403560597055,0.60828125,13.28247359109706,9.030945369995695
LCPSN-uncovOFF/seed0,LCPSN-uncovOFF,0,snr,none,-10,200,25600,7878,0.307734375,0.20220565552077838,11.585530655016795,9.21950311864277,0.6005859375,23.451801686482654,18.433056780219065
LCPSN-uncovOFF/seed1,LCPSN-uncovOFF,1,snr,none,-10,200,25600,9074,0.354453125,0.24248054957271212,13.893112104529141,11.025154920857512,0.5224609375,24.403922146902037,19.212905900391714
LCPSN-uncovOFF/seed2,LCPSN-uncovOFF,2,snr,none,-10,200,25600,9193,0.3591015625,0.23476732685440072,13.451176996325474,10.449705606135298,0.47421875,21.81104061499824,16.90311714110512
Trans-MUSIC/seed0,Trans-MUSIC,0,snr,none,-8,200,25600,6116,0.23890625,0.17397902157260556,9.968263659925801,8.075046245071192,0.203984375,14.19854184531647,10.870530981816028
Trans-MUSIC/seed1,Trans-MUSIC,1,snr,none,-8,200,25600,6193,0.2419140625,0.17736923136285088,10.16250837257079,8.27913498551324,0.1962890625,15.525188679289448,11.927897602834996
Trans-MUSIC/seed2,Trans-MUSIC,2,snr,none,-8,200,25600,6304,0.24625,0.18802588945314677,10.773089904858688,8.77888690419166,0.188125,16.030262151468698,12.474428755954444
TCN-MUSIC/seed0,TCN-MUSIC,0,snr,none,-8,200,25600,6017,0.2350390625,0.1680649528397679,9.629412481783922,7.6859478062719795,0.256796875,14.5716401673686,10.869177754122093
TCN-MUSIC/seed1,TCN-MUSIC,1,snr,none,-8,200,25600,6296,0.2459375,0.18097619903430293,10.369172396985123,8.449999815639986,0.1998828125,15.688615477862362,12.108889546089769
TCN-MUSIC/seed2,TCN-MUSIC,2,snr,none,-8,200,25600,6245,0.2439453125,0.1815490783412441,10.40199596344323,8.327643819171946,0.2085546875,15.802838797919913,11.912451252587413
DA-MUSIC/seed0,DA-MUSIC,0,snr,none,-8,200,25600,6106,0.238515625,0.18256515994854605,10.460213151182503,8.579050920580189,0.1803515625,14.337267980168109,11.243150007266353
DA-MUSIC/seed1,DA-MUSIC,1,snr,none,-8,200,25600,6096,0.238125,0.20256474979997394,11.606105241661993,9.591518535981146,0.13296875,16.960236878213085,13.448522007266837
DA-MUSIC/seed2,DA-MUSIC,2,snr,none,-8,200,25600,6189,0.2417578125,0.2080792886703938,11.922065044897892,9.951077221640837,0.1175,17.64546721248592,14.151650126869002
