model,family,seed,sweep,min_sep,snr_db,snapshots,num_tests,num_kok,k_accuracy,rmspe_rad,rmspe_deg,mae_deg,sr5,rmspe_deg_kok,mae_deg_kok
Trans-MUSIC/seed1,Trans-MUSIC,1,snapshot,none,10,200,25600,21097,0.8241015625,0.05875728869052757,3.3665446575989932,2.677786238519604,0.8071484375,3.236899444009502,2.5620879168382187
Trans-MUSIC/seed2,Trans-MUSIC,2,snapshot,none,10,200,25600,20776,0.8115625,0.06795898352514833,3.8937629359900927,3.0974068117493827,0.750703125,3.7651174136438135,2.9749084899983167
TCN-MUSIC/seed0,TCN-MUSIC,0,snapshot,none,10,200,25600,20662,0.807109375,0.0640800870741451,3.6715185401793344,2.902362831061985,0.787265625,3.4656910637095164,2.7328216363702227
TCN-MUSIC/seed1,TCN-MUSIC,1,snapshot,none,10,200,25600,20730,0.809765625,0.06593069791513212,3.7775507308890464,3.021612826971867,0.7612890625,3.6097295452933924,2.8757490873951257
TCN-MUSIC/seed2,TCN-MUSIC,2,snapshot,none,10,200,25600,20247,0.7908984375,0.04970449019223919,2.8478575108646993,2.2543277292894417,0.8678515625,2.6632055025642347,2.0965766425164563
DA-MUSIC/seed0,DA-MUSIC,0,snapshot,none,10,200,25600,17752,0.6934375,0.06957309200936884,3.9862445398121866,3.224125594401427,0.7296484375,3.9001837172132396,3.129068309269365
DA-MUSIC/seed1,DA-MUSIC,1,snapshot,none,10,200,25600,17344,0.6775,0.08595811594599068,4.9250372586014475,4.048386217034879,0.6232421875,4.96819558862472,4.06413813263639
DA-MUSIC/seed2,DA-MUSIC,2,snapshot,none,10,200,25600,17808,0.695625,0.084890707353493,4.863879251235331,4.028737431619472,0.6304296875,4.85044431424599,3.9942754881136286
LCPSN-uncovON/seed0,LCPSN-uncovON,0,snapshot,none,10,200,25600,20636,0.80609375,0.04408672587666187,2.5259833252829194,1.8141487209208618,0.9000390625,2.5036372331706644,1.775415487528964
LCPSN-uncovON/seed1,LCPSN-uncovON,1,snapshot,none,10,200,25600,20673,0.8075390625,0.04248632559692954,2.4342871437227007,1.7507006145358952,0.90359375,2.4176357835393505,1.713968033844421
LCPSN-uncovON/seed2,LCPSN-uncovON,2,snapshot,none,10,200,25600,20610,0.805078125,0.04093252970548867,2.345261196918371,1.688651732934005,0.9037890625,2.309832264169361,1.641528496650225
LCPSN-uncovOFF/seed0,LCPSN-uncovOFF,0,snapshot,none,10,200,25600,20610,0.805078125,0.04703774140962103,2.695064060599029,1.9163147754913157,0.8895703125,2.7193238434830356,1.9078699042068383
LCPSN-uncovOFF/seed1,LCPSN-uncovOFF,1,snapshot,none,10,200,25600,20621,0.8055078125,0.048349757792576345,2.770237061994388,1.9704877962796445,0.888515625,2.8214675591359564,1.9804769932651112
LCPSN-uncovOFF/seed2,LCPSN-uncovOFF,2,snapshot,none,10,200,25600,20663,0.8071484375,0.04692457793697725,2.688580271221496,1.9155769206660886,0.890234375,2.714271297509277,1.9083458418614905
Trans-MUSIC/seed0,Trans-MUSIC,0,snapshot,none,10,300,25600,21893,0.8551953125,0.0506917276019433,2.904422047818173,2.282658988323844,0.8560546875,2.759229075565197,2.155323459108124
Trans-MUSIC/seed1,Trans-MUSIC,1,snapshot,none,10,300,25600,21609,0.8441015625,0.05696997684938367,3.2641392324276914,2.5935994221644756,0.818203125,3.1582918491178886,2.498060341891213
