model,family,seed,sweep,min_sep,snr_db,snapshots,num_tests,num_kok,k_accuracy,rmspe_rad,rmspe_deg,mae_deg,sr5,rmspe_deg_kok,mae_deg_kok
LCPSN-uncovON/seed2,LCPSN-uncovON,2,snapshot,8deg,10,50,25600,22321,0.8719140625,0.04483672601702996,2.5689551679602305,1.832971194698828,0.8611328125,2.475737291498188,1.7485690281655928
LCPSN-uncovOFF/seed0,LCPSN-uncovOFF,0,snapshot,8deg,10,50,25600,22523,0.8798046875,0.04788671583741268,2.743706712226024,1.9455777955306894,0.853828125,2.6507185952451486,1.8650179501682884
LCPSN-uncovOFF/seed1,LCPSN-uncovOFF,1,snapshot,8deg,10,50,25600,22514,0.879453125,0.04866711711063559,2.7884204115083326,1.978112135526013,0.850859375,2.7150821774545792,1.9094948389023307
LCPSN-uncovOFF/seed2,LCPSN-uncovOFF,2,snapshot,8deg,10,50,25600,22495,0.8787109375,0.04792992256977877,2.746182275637153,1.9463717059962613,0.85234375,2.660063684657958,1.868984949327303
Trans-MUSIC/seed0,Trans-MUSIC,0,snapshot,8deg,10,100,25600,22134,0.864609375,0.05595442167153959,3.2059522068745676,2.5231055856318894,0.82390625,3.0766020285600053,2.406919975817564
Trans-MUSIC/seed1,Trans-MUSIC,1,snapshot,8deg,10,100,25600,21604,0.84390625,0.06198849381323729,3.5516790738713113,2.856343848500259,0.7853515625,3.4174331792911863,2.7332961737086108
Trans-MUSIC/seed2,Trans-MUSIC,2,snapshot,8deg,10,100,25600,20953,0.8184765625,0.07391622947500627,4.235087986438356,3.3919259846947547,0.709921875,4.077686869852918,3.2376110380226293
TCN-MUSIC/seed0,TCN-MUSIC,0,snapshot,8deg,10,100,25600,22987,0.8979296875,0.0660953961482113,3.7869872445377455,2.9699046257051678,0.791953125,3.7439075574612315,2.925515916426691
TCN-MUSIC/seed1,TCN-MUSIC,1,snapshot,8deg,10,100,25600,22622,0.883671875,0.06939817698767616,3.9762226472957565,3.1786365257415023,0.758203125,3.9387279651470357,3.138916645266721
TCN-MUSIC/seed2,TCN-MUSIC,2,snapshot,8deg,10,100,25600,22888,0.8940625,0.05351051412609907,3.0659266190006496,2.414840569287472,0.8565625,2.9913860059139665,2.3481894671812324
DA-MUSIC/seed0,DA-MUSIC,0,snapshot,8deg,10,100,25600,16185,0.6322265625,0.10021189167237354,5.741718449849205,4.617811423456706,0.5093359375,5.8618966249539515,4.653063338627022
DA-MUSIC/seed1,DA-MUSIC,1,snapshot,8deg,10,100,25600,16609,0.6487890625,0.098084678458071,5.619838110545212,4.665402817788862,0.5441015625,5.8014406265720995,4.787861826395336
DA-MUSIC/seed2,DA-MUSIC,2,snapshot,8deg,10,100,25600,15050,0.587890625,0.11041695179442332,6.326425324519918,5.34932471698642,0.4276953125,6.622678931014308,5.541518688898136
LCPSN-uncovON/seed0,LCPSN-uncovON,0,snapshot,8deg,10,100,25600,24116,0.94203125,0.03400984323779406,1.9486204794271422,1.373516607627609,0.9069921875,1.8758380390371068,1.3127927336956606
LCPSN-uncovON/seed1,LCPSN-uncovON,1,snapshot,8deg,10,100,25600,24042,0.939140625,0.03341849456533788,1.914738696274739,1.356470740317053,0.909609375,1.8381144538130216,1.293082891235316
LCPSN-uncovON/seed2,LCPSN-uncovON,2,snapshot,8deg,10,100,25600,24068,0.94015625,0.03396544846582755,1.9460768463610156,1.3749700378246361,0.907890625,1.87698014532098,1.3158618458307654
LCPSN-uncovOFF/seed0,LCPSN-uncovOFF,0,snapshot,8deg,10,100,25600,24136,0.9428125,0.03699375367453412,2.119585953897386,1.4914101795340544,0.8995703125,2.042777501186453,1.429793900555987
LCPSN-uncovOFF/seed1,LCPSN-uncovOFF,1,snapshot,8deg,10,100,25600,24145,0.9431640625,0.03734800911422754,2.1398832954613702,1.50871986383259,0.897421875,2.063041161680795,1.4483151484454586
LCPSN-uncovOFF/seed2,LCPSN-uncovOFF,2,snapshot,8deg,10,100,25600,24132,0.94265625,0.0367232986412406,2.1040900219415968,1.4808402006897803,0.898125,2.030750777791746,1.4214532048142041
Trans-MUSIC/seed0,Trans-MUSIC,0,snapshot,8deg,10,200,25600,23837,0.9311328125,0.045728370179806285,2.6200426153147895,2.0589769291414797,0.88359375,2.5273961538414396,1.976133729261269
Trans-MUSIC/seed1,Trans-MUSIC,1,snapshot,8deg,10,200,25600,23685,0.9251953125,0.052636292488462216,3.0158374088050426,2.417541348830225,0.844296875,2.920891244251423,2.33382972972261
Trans-MUSIC/seed2,Trans-MUSIC,2,snapshot,8deg,10,200,25600,23156,0.90453125,0.06369963924676898,3.6497204853457608,2.9118465260114634,0.77625,3.531983534631594,2.8019907627429856
TCN-MUSIC/seed0,TCN-MUSIC,0,snapshot,8deg,10,200,25600,24212,0.94578125,0.05666313640866383,3.24655857019051,2.5680975398921264,0.83828125,3.2118982783359176,2.535347708621718
TCN-MUSIC/seed1,TCN-MUSIC,1,snapshot,8deg,10,200,25600,23936,0.935,0.05935646583805238,3.4008749793328525,2.7371783883977234,0.8098046875,3.35572988646131,2.6972261380376086
TCN-MUSIC/seed2,TCN-MUSIC,2,snapshot,8deg,10,200,25600,24073,0.9403515625,0.04434589590526492,2.540832674098159,2.006751974953865,0.90421875,2.4783317075618405,1.953373410297578
DA-MUSIC/seed0,DA-MUSIC,0,snapshot,8deg,10,200,25600,20093,0.7848828125,0.0668858828392368,3.8322787956947684,3.0997251753753785,0.751484375,3.718830874261866,2.9846894583444326
DA-MUSIC/seed1,DA-MUSIC,1,snapshot,8deg,10,200,25600,19688,0.7690625,0.08677679120444415,4.971943895702613,4.0932621096796735,0.6175390625,4.915831722996106,4.034272469470503
DA-MUSIC/seed2,DA-MUSIC,2,snapshot,8deg,10,200,25600,19872,0.77625,0.08247663342281047,4.725563003574665,3.905377225410338,0.6542578125,4.680041194640193,3.83782346979922
LCPSN-uncovON/seed0,LCPSN-uncovON,0,snapshot,8deg,10,200,25600,24941,0.9742578125,0.027234879842868844,1.5604436705423035,1.0889503665900888,0.9359375,1.5231987751166114,1.0586632243481995
LCPSN-uncovON/seed1,LCPSN-uncovON,1,snapshot,8deg,10,200,25600,24957,0.9748828125,0.02704691483263027,1.5496740687594996,1.0813074648499492,0.9372265625,1.5127935282114222,1.0514744689230193
LCPSN-uncovON/seed2,LCPSN-uncovON,2,snapshot,8deg,10,200,25600,24933,0.9739453125,0.02710176532881491,1.5528167706950782,1.084129624142154,0.936484375,1.5153638652355268,1.0534885630888844
LCPSN-uncovOFF/seed0,LCPSN-uncovOFF,0,snapshot,8deg,10,200,25600,24923,0.9735546875,0.030757944736841892,1.762300419917664,1.2266019898040657,0.924921875,1.7215745934593374,1.1939994823799993
LCPSN-uncovOFF/seed1,LCPSN-uncovOFF,1,snapshot,8deg,10,200,25600,24957,0.9748828125,0.03126841312955652,1.7915481043950388,1.2489754585727395,0.9219140625,1.7491522442740808,1.2156533533324663
LCPSN-uncovOFF/seed2,LCPSN-uncovOFF,2,snapshot,8deg,10,200,25600,24920,0.9734375,0.03061080656793995,1.7538700238342995,1.219906221782238,0.9252734375,1.711889477283769,1.186542399550051
