sweep,min_sep,family,x,xname,num_seeds,seeds,rmspe_rad_mean,rmspe_rad_std,rmspe_deg_mean,rmspe_deg_std,k_accuracy_mean,k_accuracy_std,mae_deg_mean,mae_deg_std,sr5_mean,sr5_std,rmspe_deg_kok_mean,rmspe_deg_kok_std,mae_deg_kok_mean,mae_deg_kok_std
snr,8deg,DA-MUSIC,-10.0,snr_db,3,0;1;2,0.2129094774036253,0.01598611745520405,12.198814473563695,0.9159370609836073,0.24854166666666666,0.0012067299212601655,10.204692141124955,0.8697076216913597,0.1104296875,0.026498198825875414,16.63692007845057,1.3120647587540502,13.489053754840539,1.2430286918539815
snr,8deg,DA-MUSIC,-8.0,snr_db,3,0;1;2,0.1829831623600596,0.013400396973616868,10.484162925188519,0.7677861903881285,0.2494140625,0.0031995502155820546,8.757403440000827,0.7276280717374275,0.15937500000000002,0.034209718949524695,14.592748485658467,1.8601627165839965,11.722752358499738,1.6361605675563689
snr,8deg,DA-MUSIC,-6.0,snr_db,3,0;1;2,0.155342961576363,0.01149252040042937,8.900496075388515,0.6584729149126013,0.2635807291666667,0.0164739272529083,7.469320875751177,0.6155795090141237,0.23389322916666666,0.05880182239709966,12.164990145913054,1.9400172131422868,9.841890686709712,1.6252527782678057
snr,8deg,DA-MUSIC,-4.0,snr_db,3,0;1;2,0.13480085715364554,0.016163582897505788,7.72352018964978,0.9261050818369201,0.36375,0.03665222114608346,6.494678917530753,0.823624614869344,0.33002604166666666,0.09670714835169997,9.803218859079903,1.781288268224796,8.033716048852176,1.4811073549513936
snr,8deg,DA-MUSIC,-2.0,snr_db,3,0;1;2,0.11233802836982935,0.017823899287246384,6.436494904412129,1.0212342036254536,0.5550520833333333,0.03765637831712234,5.375604662405979,0.9043533565788429,0.4544010416666666,0.11168307814822018,7.1245451335458085,1.443486752955846,5.868107365494526,1.2336782795031398
snr,8deg,DA-MUSIC,0.0,snr_db,3,0;1;2,0.09374662715491235,0.013995105351453378,5.371286079562995,0.8018604704792313,0.6797135416666666,0.02403462434317846,4.45970621610767,0.7144721844954759,0.5671744791666666,0.09739062573115545,5.49806498100273,0.9385595317896847,4.52444689153499,0.8216637785348581
snr,8deg,DA-MUSIC,2.0,snr_db,3,0;1;2,0.08463091169695798,0.011923521722683269,4.848994056580043,0.6831674716423082,0.7243750000000001,0.01937074676098277,3.9999809748763653,0.6039113474894025,0.6307552083333333,0.0820869075816699,4.853775004254998,0.7373425298268036,3.97234439399548,0.644406874614332
snr,8deg,DA-MUSIC,4.0,snr_db,3,0;1;2,0.08092042651144282,0.011040417795968371,4.636398915504209,0.6325693437701143,0.7498567708333335,0.015145188322679463,3.8193775431114063,0.5630551248921597,0.6565234375,0.07524959485524758,4.598726624540924,0.6725811941183707,3.7619634918854232,0.5954752882036616
snr,8deg,DA-MUSIC,6.0,snr_db,3,0;1;2,0.0795576307831797,0.010494098314725952,4.558316471936275,0.6012675432291469,0.761328125,0.0114862349684307,3.7456512353063416,0.5345659010920099,0.6687109375000001,0.06942332740996987,4.501328558985333,0.6263664016264353,3.674917131826549,0.555404622757002
snr,8deg,DA-MUSIC,8.0,snr_db,3,0;1;2,0.07891867594506237,0.010583722360826261,4.521707056412687,0.6064026228135807,0.7687369791666666,0.012945216631107509,3.7120309018038427,0.5375113538498328,0.6727994791666667,0.0702732348408232,4.449394548051726,0.6305859227503783,3.629518596248431,0.5579377462145072
snr,8deg,DA-MUSIC,10.0,snr_db,3,0;1;2,0.07871310248883047,0.010465905728437325,4.509928564990682,0.59965222702125,0.7767317708333333,0.007921152015414327,3.699454836821797,0.5278086135600687,0.6744270833333333,0.0692129778267192,4.438234597299388,0.6340785289345291,3.618928465871385,0.5579806370919536
snr,8deg,DA-MUSIC,12.0,snr_db,3,0;1;2,0.07916912523353346,0.010446081768117437,4.536056743624135,0.598516397761686,0.7729947916666667,0.008349177239670191,3.7240538087350763,0.5296381228040644,0.6708854166666667,0.07129055363737312,4.4568624233132015,0.6273163504887606,3.6359333781099443,0.5549202845359332
snr,8deg,DA-MUSIC,14.0,snr_db,3,0;1;2,0.07921946019285026,0.010502147594178519,4.53894072435495,0.6017287329699004,0.7773828125000001,0.009475615678174613,3.7214529602936524,0.5332416278276212,0.6721093749999999,0.0740704830712096,4.479320379677887,0.6219816226050809,3.6500453860548467,0.5513899259944035
snr,8deg,DA-MUSIC,16.0,snr_db,3,0;1;2,0.07882690687562047,0.01068202699212516,4.516449076043823,0.6120350632935974,0.7760677083333333,0.009842845733929153,3.712132223874711,0.5427828473906802,0.6732942708333333,0.0722521243019597,4.438149824263092,0.6295102276427449,3.623409288080604,0.5591348024494834
snr,8deg,DA-MUSIC,18.0,snr_db,3,0;1;2,0.07908890393482365,0.010765069331522329,4.531460401781005,0.6167930388619481,0.7769531249999999,0.007346554484448403,3.7211326215679037,0.5485347305673636,0.6720833333333333,0.07375484472191927,4.4631958832592105,0.6538074924889477,3.644036363729727,0.5786352406610771
snr,8deg,DA-MUSIC,20.0,snr_db,3,0;1;2,0.07890982445129734,0.010833609632764194,4.521199903177563,0.6207201088496619,0.7763151041666667,0.0110709860342624,3.7109717533697,0.5440274226916236,0.6756119791666665,0.07178472095734008,4.453759109593681,0.6510981352787905,3.631809099994049,0.5677913708825014
snr,8deg,LCPSN-uncovOFF,-10.0,snr_db,3,0;1;2,0.23442561244005014,0.021242915966459976,13.431598202584404,1.2171294294292272,0.3272786458333334,0.025839964312990363,10.611495755989578,0.9453691378670649,0.5142447916666667,0.06401180984888813,24.587036433457413,1.3432119769772641,19.35160386419574,1.1733517760501222
snr,8deg,LCPSN-uncovOFF,-8.0,snr_db,3,0;1;2,0.15479645355326388,0.007483648703895701,8.869183472194896,0.4287814860917726,0.41640625000000003,0.015214981646518876,6.701585440681889,0.35792835755589864,0.6247265624999999,0.02423056037635831,15.103408487836193,0.7199033248213401,11.347639078450078,0.6138293898490947
snr,8deg,LCPSN-uncovOFF,-6.0,snr_db,3,0;1;2,0.09945881843088415,0.0016032281514662741,5.6985705314476265,0.09185820667557844,0.5935286458333334,0.02488254676728857,4.181860940684369,0.071306325597109,0.7412369791666666,0.01042385819461579,7.630722976451753,0.2537927648321574,5.529061207700148,0.1942393933870126
snr,8deg,LCPSN-uncovOFF,-4.0,snr_db,3,0;1;2,0.0594004280337894,0.0009080178580955464,3.4033938276067115,0.05202559099138371,0.8280078125000001,0.009343452780598865,2.452126920282627,0.0341963133196525,0.8308072916666668,0.004979409098874958,3.499299443105182,0.06288375743186593,2.4867907015629154,0.04633462203297518
snr,8deg,LCPSN-uncovOFF,-2.0,snr_db,3,0;1;2,0.0419879315636264,0.00019224795549153257,2.405731269079928,0.011014996469683751,0.9250130208333335,0.001392255306055422,1.7067297351698976,0.014486860233977064,0.8806640625000001,0.0008203124999999756,2.3267072398800295,0.0119220672817417,1.6330220096144827,0.01605218538023407
snr,8deg,LCPSN-uncovOFF,0.0,snr_db,3,0;1;2,0.03693192141700986,0.0003353784739961313,2.11604322650348,0.019215771099516256,0.9691145833333333,0.0006254067686730499,1.486072157422604,0.01626517964231949,0.8988541666666666,0.002160242190499608,2.078245309117006,0.01695693191620833,1.4565252025723086,0.014811747211011665
snr,8deg,LCPSN-uncovOFF,2.0,snr_db,3,0;1;2,0.0346835968924642,0.0002535157756015362,1.9872237202712562,0.01452538398195379,0.9415625,0.0018421603316487207,1.3973980143470035,0.012333617061174204,0.9091796875,0.0014889936369176411,1.8717052299264214,0.010472290244179786,1.2988995423466507,0.009908168753086578
snr,8deg,LCPSN-uncovOFF,4.0,snr_db,3,0;1;2,0.032486197771114854,0.0002941541992302297,1.8613220247121829,0.016853794141942532,0.9669401041666666,0.00036295207981161233,1.3088747433650771,0.01540046144148776,0.9187369791666665,0.0009760415277036752,1.811485564772233,0.014675113258882674,1.2672630874009991,0.014164272510608488
snr,8deg,LCPSN-uncovOFF,6.0,snr_db,3,0;1;2,0.031606362546082574,0.0005404684280061781,1.8109111796508905,0.030966559884824142,0.9716145833333334,0.00041031123064034765,1.2673967458984658,0.02189386879221728,0.9218229166666667,0.0022674202657333594,1.7675065835127939,0.030193326130964912,1.2326203948176229,0.02141383001473097
snr,8deg,LCPSN-uncovOFF,8.0,snr_db,3,0;1;2,0.030901926438137467,0.0005907744355017658,1.7705499637290136,0.0338488817984748,0.9718880208333333,0.00043027894900675537,1.2386716441454253,0.023516063934590024,0.9256770833333333,0.0023545756927115815,1.7295928220714725,0.03312873291247383,1.205547709185508,0.02288593176674575
snr,8deg,LCPSN-uncovOFF,10.0,snr_db,3,0;1;2,0.03087905481144612,0.0003451265493964113,1.7692395160490009,0.01977429467832771,0.9739583333333334,0.0008027636792603399,1.2318278900530144,0.015222931943437592,0.9240364583333333,0.0018464349711984672,1.7275387716723956,0.0193340895120874,1.1987317450875057,0.01512142983583628
snr,8deg,LCPSN-uncovOFF,12.0,snr_db,3,0;1;2,0.03006657243644327,0.0006237623907951808,1.7226877050325722,0.035738952411553754,0.9742838541666666,0.00016263015620826817,1.2001998518805277,0.023437920052611725,0.9284244791666666,0.0023406011834012736,1.6846938120123067,0.03724621222249548,1.1702588263008316,0.024309209752963634
snr,8deg,LCPSN-uncovOFF,14.0,snr_db,3,0;1;2,0.030031452512266955,0.0002776551347498638,1.7206754816004495,0.015908467381303408,0.9750520833333333,0.0002600909421280926,1.19872936360963,0.011551669182315663,0.9275130208333334,0.0005758683434243955,1.6801047600598842,0.013849809486341793,1.1664262071905283,0.010189636986805856
snr,8deg,LCPSN-uncovOFF,16.0,snr_db,3,0;1;2,0.029399835271114363,0.0004479089516188756,1.6844864794147094,0.025663292533890904,0.9739713541666667,0.0006266254903914979,1.1756902691094295,0.016005300747299618,0.9317187499999999,0.0020104858175715437,1.6485772750035024,0.028006155729118378,1.1466721193943032,0.01739965330099189
snr,8deg,LCPSN-uncovOFF,18.0,snr_db,3,0;1;2,0.029704218610467806,0.0004951376189558657,1.7019263601137602,0.028369295844327787,0.9735416666666667,0.0008018127249135856,1.1862137116717106,0.018601996581418517,0.9293619791666666,0.002428900260995592,1.6621967578647483,0.03145984427050119,1.1541450165746456,0.020452073670106215
snr,8deg,LCPSN-uncovOFF,20.0,snr_db,3,0;1;2,0.029529594642175718,0.00020969834132735584,1.6919211437287969,0.0120148299289513,0.9754687500000001,0.000748329846119839,1.179696670640423,0.009325922759661171,0.929375,0.0007128237340192857,1.6561116531405278,0.013083144109213917,1.150544746878178,0.010026281904961593
snr,8deg,LCPSN-uncovON,-10.0,snr_db,3,0;1;2,0.12023147087966536,0.008013596758592643,6.888755846054885,0.45914527298707525,0.24847656250000003,0.0022059074849211826,4.9905280707049355,0.33009261585143335,0.6038932291666667,0.018601476095277406,12.474560068179558,0.44363578354984295,8.655294703983422,0.3331707633575213
snr,8deg,LCPSN-uncovON,-8.0,snr_db,3,0;1;2,0.0773842142416943,0.003112493131545501,4.4337888769852425,0.17833272020101423,0.2492578125,0.007070959915110106,3.215297263001485,0.1261202171900683,0.7588541666666666,0.014163285394199726,8.75160086199203,0.15836759094698521,5.872737903152182,0.14162355760333886
snr,8deg,LCPSN-uncovON,-6.0,snr_db,3,0;1;2,0.06151404512622794,0.0014792895901008303,3.5244951665101527,0.08475705019041505,0.35809895833333333,0.008412899370241044,2.596537244375231,0.0597433510828965,0.8288541666666666,0.0029036166384929602,5.841523661724946,0.1264071781322093,4.066667904173438,0.07391756502607824
snr,8deg,LCPSN-uncovON,-4.0,snr_db,3,0;1;2,0.05002574436600515,0.0013003493729796074,2.866264019172451,0.07450453096421437,0.689609375,0.024008887870481273,2.0975594817395664,0.04882989565517046,0.8689192708333334,0.0031641428744935553,3.213390952823591,0.055982572498158016,2.2926337103603727,0.037543862336462154
snr,8deg,LCPSN-uncovON,-2.0,snr_db,3,0;1;2,0.03781575565854156,6.385232989847296e-05,2.1666831983323926,0.0036584690152593885,0.9213151041666666,0.0010188750083067813,1.54628048868455,0.0032752130677200122,0.8936979166666666,0.0008008606413896688,2.1042277087201664,0.006156003677081842,1.4835499700585428,0.004073349401410673
snr,8deg,LCPSN-uncovON,0.0,snr_db,3,0;1;2,0.03311930802851179,0.0003295786087042149,1.8975965704274689,0.018883463296545108,0.9682682291666667,0.0006947563318725955,1.3390905704663745,0.010525824633541238,0.9098697916666666,0.001441789061067749,1.8615340943678902,0.016854213055857187,1.3100002479918942,0.009530704110962004
snr,8deg,LCPSN-uncovON,2.0,snr_db,3,0;1;2,0.03066987279061408,0.00017120631731149742,1.7572542691053072,0.009809399407926385,0.9396223958333333,0.0025888547241109954,1.2437556330879254,0.007107964317386068,0.9215625,0.0012408109511147444,1.6685895397459227,0.0019528730140893397,1.1612329493753846,0.002242709266744407
snr,8deg,LCPSN-uncovON,4.0,snr_db,3,0;1;2,0.02882281591233493,0.00030533230180029906,1.6514257054593031,0.017494252242171788,0.9670833333333334,0.0009163743911413117,1.1629451412651906,0.009176893783466488,0.929140625,0.002146305760596321,1.6060883989916561,0.01606067563445372,1.1245787293567802,0.008031365851034273
snr,8deg,LCPSN-uncovON,6.0,snr_db,3,0;1;2,0.028036214835704825,0.0002365442031558206,1.606356783607951,0.013552984509113653,0.9707552083333333,0.0005022734771350534,1.1259626699774437,0.007162037095873893,0.9332942708333333,0.0009254872731206606,1.5665214161634786,0.01274913007631392,1.093008422923999,0.006581228085960785
snr,8deg,LCPSN-uncovON,8.0,snr_db,3,0;1;2,0.027673051109431548,0.00017590177220434252,1.5855490348202481,0.010078429156180476,0.9718619791666668,0.0005979667970419096,1.1100598714961067,0.005354828017907709,0.9332161458333332,0.000891047505777399,1.546330314642156,0.009663651391141642,1.077425107899571,0.004888894752832028
snr,8deg,LCPSN-uncovON,10.0,snr_db,3,0;1;2,0.02712785333477134,9.66599674611163e-05,1.5543115033322936,0.005538208183393887,0.9743619791666668,0.0004773516348911989,1.0847958185273974,0.003864757168510653,0.9365494791666666,0.000646992617125275,1.5171187228545202,0.005420049329728603,1.0545420854533678,0.0037083666445099825
snr,8deg,LCPSN-uncovON,12.0,snr_db,3,0;1;2,0.026446142845822,9.155131079342716e-05,1.5152523694656972,0.005245503717353868,0.9742057291666667,0.00011276372445112442,1.0575050613476107,0.003815490885326144,0.9402343750000001,0.000413398642353823,1.4811290900435938,0.004948562552168617,1.0292943356896067,0.0036934899751562577
snr,8deg,LCPSN-uncovON,14.0,snr_db,3,0;1;2,0.026439371348988494,4.6164602735665686e-05,1.5148643912761506,0.0026450368996516526,0.9746354166666666,0.0008252579102859691,1.055822055050563,0.0007575407725605585,0.9391666666666666,0.0002957764763437494,1.4791998944586109,0.004068190455126158,1.026324926277891,0.0018233019067352247
snr,8deg,LCPSN-uncovON,16.0,snr_db,3,0;1;2,0.026076032470405394,0.00016196546983445357,1.4940466070003229,0.009279937848367592,0.9736328125,0.00014084184669779177,1.0432943218514736,0.005671468735975733,0.9424739583333333,0.0012502034339666398,1.4581951479794746,0.009995298925759288,1.0142554235132586,0.006464105698019978
snr,8deg,LCPSN-uncovON,18.0,snr_db,3,0;1;2,0.026152570231701495,5.5287031205245434e-05,1.4984318976959692,0.0031677135498686705,0.9739713541666667,0.00017614256846965235,1.0473245187126066,0.0013723385334834086,0.9399609375,0.0010156249999999731,1.4618541692052138,0.0033869018724677485,1.017075767003344,0.0011813333224928264
snr,8deg,LCPSN-uncovON,20.0,snr_db,3,0;1;2,0.026295826585533727,8.276634626277824e-05,1.506639882158989,0.004742162326575525,0.9754166666666667,0.0006678811772516791,1.0495912421847802,0.0031680996612288514,0.9389322916666667,0.0008399194491078329,1.4717814088831727,0.004384897198888247,1.0207683797916107,0.002845267279192899
snr,8deg,TCN-MUSIC,-10.0,snr_db,3,0;1;2,0.1961946427097648,0.009321185144058042,11.241124990346648,0.5340645688145688,0.2501302083333333,0.0005979667970419145,9.236241298613185,0.47647883687851683,0.16859375,0.026995635633593043,16.16153677777852,0.7527360925109507,12.807302110199975,0.7127366561584545
snr,8deg,TCN-MUSIC,-8.0,snr_db,3,0;1;2,0.1601610065034364,0.007383862087518733,9.176549715214236,0.42306413412148086,0.25059895833333334,0.0036661219336721583,7.49688031221961,0.4050710455982947,0.25494791666666666,0.03675182049106619,13.267329343782885,0.7971338364508253,10.2880769951817,0.743968035668931
snr,8deg,TCN-MUSIC,-6.0,snr_db,3,0;1;2,0.1315492292492764,0.011408666869550645,7.537215634182462,0.6536684614959806,0.28675781250000004,0.0018309440070715776,6.188282996038495,0.5705664238356611,0.37921875,0.05767662453349818,9.95235753288209,1.4441068650227549,7.716180634369749,1.2019039381058119
snr,8deg,TCN-MUSIC,-4.0,snr_db,3,0;1;2,0.12408676762328123,0.01732026116228568,7.109648078234603,0.9923778646633233,0.5079557291666666,0.021155051741669387,5.808075502907894,0.8002109100720853,0.5178645833333334,0.09760864725213605,8.739350109262894,1.4258990566287093,6.94603232212068,1.1137477693315303
snr,8deg,TCN-MUSIC,-2.0,snr_db,3,0;1;2,0.09083333470453363,0.013647155263482277,5.204366717668967,0.7819243989572815,0.8302083333333333,0.0034845268090994844,4.192179458477521,0.6446875588803206,0.67921875,0.0878335231173333,5.41609463693806,0.8215192539850701,4.337671314070762,0.6720248828454378
snr,8deg,TCN-MUSIC,0.0,snr_db,3,0;1;2,0.06463673327067838,0.01032715804047326,3.7034120179227017,0.5917025700837113,0.9167578125000001,0.007335954140023715,2.9576930970835904,0.49065463018541494,0.7974479166666666,0.059195740053336984,3.68289858106183,0.6141284377953045,2.9363636616668667,0.5082052858281071
snr,8deg,TCN-MUSIC,2.0,snr_db,3,0;1;2,0.05845166822382558,0.008816006031083503,3.34903389472415,0.5051199377429644,0.9226432291666667,0.004783734376335423,2.6656579909992644,0.41197348132086115,0.8296744791666667,0.05237669982822357,3.325074473851473,0.5292578882715392,2.6390153562924463,0.42786442079158027
snr,8deg,TCN-MUSIC,4.0,snr_db,3,0;1;2,0.05565761989328499,0.008483701476673622,3.188946717628601,0.4860802892623029,0.93390625,0.007628997255281566,2.534324647600915,0.39848815020281003,0.8428125,0.05094666568226648,3.147751245685798,0.49867748869558093,2.496628073126304,0.4074308201465214
snr,8deg,TCN-MUSIC,6.0,snr_db,3,0;1;2,0.05441060907454964,0.007656101213671823,3.117498260707912,0.4386622870683827,0.9377994791666667,0.006208644099639573,2.47749517497637,0.36449476151094257,0.8484895833333334,0.045768621827381555,3.06961967391392,0.4526179005516388,2.4354019455334055,0.374212528496104
snr,8deg,TCN-MUSIC,8.0,snr_db,3,0;1;2,0.05402401074830099,0.008094652909921137,3.095347808247043,0.46378944836177183,0.9398567708333334,0.004557161456473135,2.4594949085806364,0.38186286768180305,0.8511328125,0.04809358438385229,3.0519405954467906,0.471177358616731,2.4195749374020643,0.38650610608195884
snr,8deg,TCN-MUSIC,10.0,snr_db,3,0;1;2,0.05345516605066037,0.008002974933744784,3.0627554078738406,0.45853668725256586,0.9403776041666667,0.005390672176725913,2.4373426344145717,0.3823654277572016,0.8507682291666666,0.048429818149256454,3.015319957453023,0.4705732336893803,2.395315752318968,0.3911980722486404
snr,8deg,TCN-MUSIC,12.0,snr_db,3,0;1;2,0.053663620311070255,0.00822116641946912,3.0746989572168477,0.4710381385102592,0.9402473958333334,0.0066695524963300435,2.4435006980678313,0.3848273309273966,0.8510807291666667,0.04865657886483007,3.0250541389668726,0.4750173737239028,2.3992197744717427,0.38745975319940745
snr,8deg,TCN-MUSIC,14.0,snr_db,3,0;1;2,0.054063867573041206,0.008306599988038786,3.0976314360894492,0.47593312141804256,0.9413151041666666,0.004957450382037582,2.462001529909488,0.3920151788770601,0.8504296875,0.049784937873442195,3.0531326017273845,0.4810274719976717,2.42201050320328,0.3947112616530045
snr,8deg,TCN-MUSIC,16.0,snr_db,3,0;1;2,0.05375146271901768,0.007898082614745712,3.0797319564545016,0.4525268000705792,0.94140625,0.004989766138135278,2.448945358674918,0.37169516119757867,0.8531119791666667,0.04730791840569829,3.0379746743464486,0.4611395510314244,2.411328416975302,0.3777286195050729
snr,8deg,TCN-MUSIC,18.0,snr_db,3,0;1;2,0.05391157813609291,0.007860445392728963,3.0889058940878886,0.45037034609642224,0.9413020833333334,0.004718377037551102,2.455124995725693,0.3709402355862761,0.8518489583333334,0.046780606999519476,3.043948020728854,0.45775410940003114,2.414178459988497,0.37542702125941796
snr,8deg,TCN-MUSIC,20.0,snr_db,3,0;1;2,0.05390891991986701,0.008163604041006512,3.088753589517111,0.46774005716561706,0.9414322916666666,0.004592516398282056,2.456901707794571,0.38329087249142463,0.8511848958333333,0.0485041806231502,3.0464425877256427,0.47597446338430477,2.419277532864698,0.38848102050907535
snr,8deg,Trans-MUSIC,-10.0,snr_db,3,0;1;2,0.20447279653291164,0.008431453178279483,11.71542826657305,0.48308668227757795,0.24911458333333333,0.0005692055467290126,9.692108240045242,0.38238316090625274,0.14239583333333336,0.008402100703036012,16.34083662678076,0.6702142110425323,13.107010907797092,0.6090620337145385
snr,8deg,Trans-MUSIC,-8.0,snr_db,3,0;1;2,0.16625409491750112,0.00821769648100714,9.525657965540205,0.47083932568121706,0.24821614583333332,0.00029577647634376894,7.842236673659163,0.38993755431240185,0.21958333333333332,0.014556761739385563,13.441604004276757,1.1344108876944494,10.526381735311402,0.9950336737844616
snr,8deg,Trans-MUSIC,-6.0,snr_db,3,0;1;2,0.12815524882873205,0.008917798666847441,7.3427548803352325,0.5109522261577504,0.27412760416666665,0.009398760038799105,6.076824081690671,0.40763203770597045,0.35761718750000004,0.03283971620536964,9.421961272338097,1.4700400484127218,7.351616934696729,1.1705759579554114
snr,8deg,Trans-MUSIC,-4.0,snr_db,3,0;1;2,0.10378995051224116,0.007296733245259196,5.946726120223096,0.4180720191861483,0.46593750000000006,0.058438126667762866,4.9144657729002885,0.3361463942760626,0.5313151041666666,0.0504971217981365,6.538665013417379,0.7958733761534719,5.230648815219344,0.611571169897308
snr,8deg,Trans-MUSIC,-2.0,snr_db,3,0;1;2,0.08389324010236547,0.011828806367904217,4.8067285875432075,0.6777406815583841,0.76265625,0.04865292003999316,3.9294378236267207,0.5691436357766549,0.6837890624999999,0.06456302183961424,4.866802141421591,0.8282175133887234,3.943341210911234,0.6797750525549793
snr,8deg,Trans-MUSIC,0.0,snr_db,3,0;1;2,0.0649898081441868,0.010439844086043587,3.723641718026849,0.5981590049049099,0.8716276041666667,0.026699221131278827,2.9928708897037897,0.49699124208511813,0.7814322916666666,0.060477156600987486,3.648065889798746,0.6219866501229429,2.918029975131058,0.5108602951878807
snr,8deg,Trans-MUSIC,2.0,snr_db,3,0;1;2,0.05855460810763791,0.009724686635280063,3.3549319156101642,0.5571835012888249,0.8983984375,0.018722799280305947,2.6817145721554922,0.4566772560089372,0.8131380208333333,0.057259980288249086,3.2610860572029607,0.5566587672119239,2.5944057441453956,0.45126874541273365
snr,8deg,Trans-MUSIC,4.0,snr_db,3,0;1;2,0.05605886881008454,0.009482159340778017,3.2119365870954115,0.5432877108971313,0.9095312500000001,0.016364483666880352,2.56092550046669,0.44838137827121144,0.826328125,0.05619540807895392,3.1076361119239375,0.5331937328102041,2.4666257678676495,0.4368787129722219
snr,8deg,Trans-MUSIC,6.0,snr_db,3,0;1;2,0.05499138508257631,0.008768334990537903,3.150774274810297,0.5023885883147047,0.9141536458333333,0.01568748897638226,2.5100026905977573,0.41529689151551535,0.8315104166666667,0.05387013811564768,3.0483767831784387,0.49337220585923514,2.416466944821595,0.4028980628107199
snr,8deg,Trans-MUSIC,8.0,snr_db,3,0;1;2,0.0544501216189183,0.008675290248201786,3.1197621627380605,0.4970575172729628,0.9173046875,0.015120114380741892,2.48583927296928,0.4137807775518575,0.8331380208333333,0.05395233160194704,3.01893577691243,0.4797173302810589,2.3937084666723316,0.39572866475325563
snr,8deg,Trans-MUSIC,10.0,snr_db,3,0;1;2,0.05402143397167916,0.009065351105483389,3.095200169821864,0.5194063581484533,0.9202864583333333,0.013963646328325278,2.4627882679943895,0.4282313628013232,0.8347135416666666,0.054309763158652755,2.9934236442414854,0.5062061469371392,2.3706514072422884,0.4141579854226255
snr,8deg,Trans-MUSIC,12.0,snr_db,3,0;1;2,0.05385094318320511,0.009063738756643023,3.0854317671964435,0.5193139773647976,0.9208072916666667,0.014397609455752145,2.4552469707785396,0.4286609727913368,0.8351692708333333,0.05559078693123629,2.984847084220153,0.5051562066446149,2.3650997003283867,0.41431509012064693
snr,8deg,Trans-MUSIC,14.0,snr_db,3,0;1;2,0.05366228256782535,0.008886812699487375,3.074622310174842,0.5091768610038887,0.9190494791666667,0.01516270870223394,2.4476941727772683,0.42112562782292506,0.8363151041666667,0.05467438923942752,2.969834085040944,0.49534289677806315,2.354951049518034,0.40535013968027805
